model,carbon_source,growth_rate,carbon_uptake_flux,note
iYO844,glucose,0.41176947216309284,-5.0,
iYO844,pyruvate,0.1353597310082007,-5.0,
iYO844,lactate,0.16715564097657012,-5.0,
iYO844,fructose,0.4102803621377324,-5.0,
iYO844,malate,0.17628743447931258,-5.0,
iYO844,sucrose,0.6241848146320981,-5.0,
iYO844,gluconate,0.3700360797141297,-5.0,
iYO844,glycerol,0.2208491138534188,-5.0,
iYO844,succinate,0.19960587819350753,-5.0,
iYO844,ethanol,,0.0,
iYO844,ethanol,,,opt_failed
iBB1018,glucose,0.43341469694833606,-5.0,
iBB1018,pyruvate,0.12855202462996773,-5.0,
iBB1018,lactate,0.16343048092492113,-5.0,
iBB1018,fructose,0.4316048510949011,-5.0,
iBB1018,malate,0.1734126739935687,-5.0,
iBB1018,sucrose,0.7383116560954945,-5.0,
iBB1018,gluconate,0.38741549562128014,-5.0,
iBB1018,glycerol,0.22292797733438868,-5.0,
iBB1018,succinate,0.1990654364186523,-5.0,
iBB1018,ethanol,0.0,-3.7333333333333334,
iBsu1147R,glucose,0.39502675579420476,-5.0,
iBsu1147R,pyruvate,0.12966580076864104,-5.0,
iBsu1147R,lactate,0.15960183656615096,-5.0,
iBsu1147R,fructose,0.3905370998553836,-5.0,
iBsu1147R,malate,0.17654553810161522,-5.0,
iBsu1147R,sucrose,0.8138422305548092,-5.0,
iBsu1147R,gluconate,0.36695546737467866,-5.0,
iBsu1147R,glycerol,0.21665495880100488,-5.0,
iBsu1147R,succinate,0.17676320842770019,-5.0,
iBsu1147R,ethanol,0.14677210693864637,-5.0,
